PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Ben McLemore,Sac,SG,20,24,25.5,52.7,18.5,0.102,40,0.8,116,0.379,95,0.326,0.466,8.9,3.2,7.1,1.1,7,0.67,0.17,4.9
Josh McRoberts,Cha,PF,26,25,29.1,60.4,14.3,0.126,32,0.656,104,0.51,83,0.337,0.525,8.4,5.7,10.9,4.2,24.6,0.96,0.48,8.1
Jodie Meeks,Lal,SG,26,25,28.8,60,17.5,0.101,48,0.813,114,0.5,122,0.426,0.601,12.4,2.6,4.8,0.9,5.1,0.88,0.04,4.3
Gal Mekel,Dal,PG,25,20,11.3,23.6,19.3,0.244,10,0.8,53,0.415,17,0.294,0.45,3.4,1,4.7,2.1,26.8,0.2,0.05,6.8
Khris Middleton,Mil,SF,22,25,27.3,55.8,18.9,0.114,40,0.85,167,0.443,65,0.477,0.551,11,3.9,8.2,1.6,10.6,0.84,0.32,6
C.J. Miles,Cle,SG,26,20,17.8,36.5,22.2,0.095,14,0.929,78,0.487,77,0.338,0.518,8.4,2,6.3,1,9.9,0.8,0.4,5.8
Andre Miller,Den,SG,37,24,19.4,40.5,15.8,0.17,37,0.73,109,0.44,16,0.563,0.531,6.3,2.6,7.2,3.5,26.6,0.54,0.17,8
Darius Miller,Nor,SF,23,4,8.9,16.9,8.6,0,0,0,3,0.333,4,0,0.143,0.5,0.8,4.7,0.8,10.9,0,0,3.1
Mike Miller,Mem,SF,33,25,23.6,48.8,13.7,0.159,15,0.867,58,0.448,83,0.446,0.596,7,3.4,8.5,1.7,11,0.36,0,5.8
Patrick Mills,San,PG,25,25,16.2,33.8,20.2,0.1,27,0.815,74,0.5,76,0.447,0.612,7.9,1.3,4.6,1.5,13.4,1.08,0.08,6.1
Paul Millsap,Atl,PF,28,25,32.3,66.9,23.7,0.126,108,0.657,268,0.507,53,0.434,0.559,16.5,8.1,14.4,2.8,14.3,1.68,1,8.9
Nazr Mohammed,Chi,C,36,23,8,16.3,13.1,0.283,9,0.444,34,0.353,0,0,0.369,1.2,2.3,16.2,0.3,6.9,0.26,0.39,4.7
Greg Monroe,Det,PF,23,27,33.8,69.5,20.8,0.149,123,0.626,317,0.511,0,0,0.54,14.9,8.9,14.8,2.1,10.2,1.11,0.7,7.7
E'Twaun Moore,Orl,SF,24,26,20.7,42.7,15,0.107,20,0.9,92,0.435,58,0.379,0.516,6.3,1.9,5.2,1.7,12.5,0.81,0.12,5.3
Darius Morris,Phi,PG,23,12,15.9,31.5,21.2,0.199,21,0.714,43,0.442,24,0.417,0.544,6.9,1.1,3.7,2.6,25.1,0.67,0,6.8
Marcus Morris,Pho,SF,24,24,22.6,47,20.7,0.124,50,0.76,124,0.5,74,0.419,0.58,10.6,4.7,11.9,0.9,6.6,0.96,0.25,6.3
Markieff Morris,Pho,PF,24,23,25.6,53.2,22.5,0.139,84,0.786,200,0.51,18,0.333,0.565,12.5,6,13.4,1.7,10.7,0.91,0.35,7.9
Anthony Morrow,Nor,SG,28,24,16.3,33.3,17.2,0.072,19,0.789,75,0.453,58,0.466,0.58,6.8,1.4,4.8,0.6,6,0.54,0.17,4.4
Donatas Motiejunas,Hou,PF,23,12,7.5,15.3,24.1,0.101,17,0.529,23,0.478,14,0.143,0.416,3.1,1.6,11.7,0.1,1.8,0.08,0.25,4.2
Timofey Mozgov,Den,C,27,24,18.6,38.7,20.4,0.185,78,0.718,134,0.537,3,0,0.584,8.3,6,17.1,0.4,3.6,0.29,1.25,5.8
Byron Mullens,Lac,C,24,16,7.6,15.8,20.4,0.161,4,0.25,16,0.688,29,0.276,0.503,2.9,1.4,10.1,0.4,7.9,0.31,0.19,6.2
Hamady N'Diaye,Sac,C,27,14,5.1,10.4,7.8,0.241,1,0,9,0.333,0,0,0.318,0.4,1.3,14.6,0.2,6,0,0.29,3.7
Steve Nash,Lal,PG,39,6,22.3,46.4,20.9,0.19,12,0.917,33,0.212,13,0.385,0.39,6.7,1.5,3.6,4.8,31.4,0.33,0.17,6.5
Gary Neal,Mil,SG,29,20,20.9,42.5,25.4,0.117,39,0.846,113,0.345,74,0.446,0.514,10.5,2,5.3,1.8,16.1,0.15,0,6.4
Nemanja Nedovic,Gol,SG,22,19,6.5,13.4,16.7,0.257,6,0.833,17,0.294,15,0.133,0.303,1.1,0.7,5.8,0.6,13.2,0,0.05,4.8
Jameer Nelson,Orl,PG,31,23,32.9,67.7,21,0.179,41,0.854,127,0.417,143,0.371,0.521,13,3.5,6,6.1,30.2,0.91,0.13,7.9
Andrew Nicholson,Orl,PF,24,26,20.8,42.8,20.3,0.107,36,0.861,151,0.53,50,0.36,0.565,9.4,5.2,14.2,0.3,2.3,0.23,0.5,4.7
Joakim Noah,Chi,C,28,23,31.9,65.3,16.3,0.148,76,0.658,191,0.476,0,0,0.517,10.1,9.4,16.5,3.5,18.8,1,1.13,8.7
Steve Novak,Tor,PF,30,15,13.2,26.8,14,0,4,1,11,0.182,49,0.347,0.478,3.9,1.3,5.9,0.4,4.7,0.27,0,3.8
Dirk Nowitzki,Dal,PF,35,24,32.2,67.2,26.4,0.089,110,0.927,284,0.518,86,0.419,0.602,21,6,10.4,2.9,15.7,1.13,0.75,8.9
Jermaine O'Neal,Gol,PF,35,17,18.4,37.9,16.9,0.192,40,0.75,79,0.481,0,0,0.549,6.2,4.5,13.5,0.3,2.4,0.47,0.88,4.4
Kyle O'Quinn,Orl,C,23,17,10,20.5,16.8,0.19,12,0.833,46,0.522,0,0,0.566,3.4,2.9,16.5,0.5,8.7,0.12,0.65,6.8
Victor Oladipo,Orl,PG,21,26,31.4,64.7,24.5,0.204,107,0.757,226,0.442,79,0.278,0.493,13.3,4.5,8.1,3.4,18.1,1.69,0.77,7.5
Kelly Olynyk,Bos,C,22,17,20.5,42.6,20.9,0.219,23,0.957,90,0.444,25,0.24,0.48,7.1,5,14.1,1.5,11.4,0.47,0.29,7.3
Arinze Onuaku,Nor,PF,26,3,8.3,15.2,10.4,0.17,2,0.5,4,0.25,0,0,0.307,1,2.3,15.8,1,16,0,0,6.4
Daniel Orton,Phi,C,23,19,10.7,21.6,14.2,0.25,25,0.76,40,0.45,0,0,0.539,2.9,2.7,13.7,0.7,9,0.26,0.58,6.6
Travis Outlaw,Sac,SF,29,21,16.2,33.3,15.8,0.066,24,0.917,68,0.441,34,0.294,0.498,5.3,3.3,11.7,0.5,5.1,0.38,0.38,5.1
Zaza Pachulia,Mil,C,29,17,25,50.5,16.7,0.189,45,0.933,104,0.365,1,0,0.473,6.9,6.5,14.9,1.8,11.8,0.94,0.29,6.9
Tony Parker,San,PG,31,23,30,62.5,27.4,0.132,75,0.72,302,0.523,27,0.407,0.557,17.5,2.5,4.8,6.1,33.1,0.43,0.04,8.6
Chandler Parsons,Hou,SF,25,24,36.8,75.7,19.5,0.13,74,0.716,206,0.563,102,0.412,0.603,17.1,5,7.6,3.9,17.7,1.17,0.58,7.5
Patrick Patterson,Sac,PF,24,17,24.1,49.7,15.7,0.11,16,0.563,83,0.494,39,0.231,0.457,6.9,5.8,13.8,0.9,5.8,0.76,0.18,5.5
Patrick Patterson,Tor,F,24,3,20.9,38.3,13,0.165,5,1,10,0.5,3,0.667,0.691,7,3.7,10.2,0.7,5.1,0,1,5
Chris Paul,Lac,PG,28,26,34.4,71.3,24.8,0.131,157,0.873,267,0.509,96,0.344,0.588,19.5,4.7,7.7,11.3,55.6,2.35,0.12,11.8
Nikola Pekovic,Min,C,28,26,32.9,68.2,20.7,0.099,113,0.717,332,0.53,0,0,0.567,16.7,8.7,14.1,1,5.2,0.46,0.38,6.4
Kendrick Perkins,Okc,C,29,22,17.9,36.9,10.7,0.3,22,0.636,57,0.491,1,0,0.517,3.2,3.5,10.7,1.4,10.4,0.36,0.55,5.6
Paul Pierce,Bro,SF,36,20,28.8,59.3,22.6,0.175,88,0.841,117,0.444,76,0.329,0.546,12.7,5.2,10.4,2.9,17,0.75,0.15,8
Mason Plumlee,Bro,PF,23,20,16.9,34.8,14.4,0.143,64,0.625,62,0.694,0,0,0.699,6.3,3.1,10.5,0.5,4.5,0.5,0.5,5.1
Miles Plumlee,Pho,C,25,24,28,58,17.4,0.13,52,0.481,205,0.507,0,0,0.511,9.7,8.6,17.6,0.6,3.3,0.67,1.96,5.3
Quincy Pondexter,Mem,SG,25,15,17.8,36.6,18.2,0.142,26,0.808,45,0.444,34,0.324,0.52,6.3,1.7,5.8,1.4,12.3,0.33,0.07,5.5
Otto Porter,Was,SF,20,5,10,18.6,10.8,0.083,0,0,9,0.222,2,0,0.182,0.8,2,11.5,0.2,2.8,0,0,2.7
Phil Pressey,Bos,PG,22,24,11.5,24,14.5,0.17,19,0.579,43,0.326,22,0.136,0.327,2,1.2,5.8,1.8,22.8,0.75,0.04,5.7
Ronnie Price,Orl,SG,30,16,10.5,21.5,12.5,0.173,5,0.6,18,0.333,18,0.278,0.393,1.9,1.7,9.1,1.6,21.7,0.75,0.13,6.6
Pablo Prigioni,Nyk,PG,36,24,18.6,38.2,9.8,0.192,2,1,17,0.471,58,0.431,0.613,3.9,1.9,6,3.2,25.6,1.25,0.04,6.2
Tayshaun Prince,Mem,SF,33,24,26.4,54.5,13.9,0.089,23,0.652,148,0.405,15,0.2,0.416,6,3,6.8,1.5,8.7,0.54,0.21,4.5
