PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Jamaal Tinsley,Uta,PG,35,8,13.6,27.6,12,0.31,0,0,5,0.6,15,0.067,0.225,1.1,1.4,5.8,2.9,30.3,0.25,0,4.8
Anthony Tolliver,Cha,PF,28,17,15,31,10.9,0.131,5,0.8,12,0.25,39,0.41,0.545,3.4,2.4,8.7,0.8,8.1,0.24,0.24,5
P.J. Tucker,Pho,SF,28,24,31.2,64.8,14.3,0.142,48,0.708,123,0.398,61,0.475,0.534,9.1,5.5,10,1.7,8,1.42,0.21,5.6
Ronny Turiaf,Min,PF,31,2,9.2,18.2,10.1,0,1,1,4,0.25,0,0,0.338,1.5,1.5,8.7,1,14.8,0.5,0.5,5.7
Evan Turner,Phi,SF,25,26,36.2,73.6,26,0.16,115,0.826,362,0.47,72,0.306,0.517,19.3,6.5,9.8,3.9,18.3,1,0,8.7
Ekpe Udoh,Mil,PF,26,22,21.5,43.8,12.7,0.176,35,0.571,92,0.424,0,0,0.456,4.5,4.1,10.8,0.7,5.6,0.5,1.18,4.4
Beno Udrih,Nyk,SG,31,18,16.4,33.6,18.7,0.194,12,0.75,65,0.431,25,0.52,0.546,5.8,1.8,6.7,2.4,24.2,0.5,0,7.1
Jonas Valanciunas,Tor,C,21,23,27.3,55.9,18.1,0.162,49,0.796,191,0.482,0,0,0.525,9.7,7.8,16.5,0.7,4.6,0.35,1,5.5
Anderson Varejao,Cle,C,31,24,28.6,58.8,13.5,0.105,50,0.7,161,0.509,4,0,0.532,8.3,8.5,16.7,2.2,12.1,1.08,0.71,7.5
Greivis Vasquez,Sac,PG,27,18,25.6,52.8,18.4,0.141,32,0.938,100,0.49,50,0.32,0.536,9.8,1.9,4.2,5.3,33.6,0.33,0.06,7.2
Greivis Vasquez,Tor,G,27,3,21,38.3,25.8,0.166,5,0.8,19,0.474,9,0.222,0.464,9.3,2.7,7.4,5.3,45.2,0.67,0,9.7
Jan Vesely,Was,PF,23,17,17.4,35,11.3,0.242,19,0.316,48,0.458,0,0,0.444,2.9,4.2,14,0.4,3.5,1.12,0.53,3.9
Charlie Villanueva,Det,PF,29,7,8.5,17,24.1,0.03,0,0,11,0.727,21,0.333,0.578,5.3,1.3,8.6,0.3,6.2,0.29,0.29,6
Nikola Vucevic,Orl,C,23,22,33.5,68.9,20.3,0.161,59,0.797,251,0.514,0,0,0.551,13.9,11.5,19.3,2.2,11.3,1.18,1.05,8.4
Dwyane Wade,Mia,SG,32,19,33.5,69.8,28.6,0.164,108,0.741,264,0.553,10,0.2,0.588,19.9,4.8,9.1,4.8,25.5,2,0.58,9.2
Dion Waiters,Cle,SG,22,22,28.3,58.2,26.6,0.145,81,0.691,216,0.44,67,0.403,0.513,14.9,3.2,6.4,2.5,16,1,0.27,7
Kemba Walker,Cha,PG,23,26,35.2,73,26,0.126,113,0.796,291,0.436,118,0.339,0.506,17.8,4.1,6.4,4.5,24.3,1.5,0.54,7.8
John Wall,Was,PG,23,24,37.4,76,27.7,0.167,123,0.837,316,0.443,89,0.326,0.512,19.6,4.4,6.8,9.1,42.6,2.08,0.42,9.9
Gerald Wallace,Bos,SF,31,27,23.5,48.9,11.8,0.327,39,0.359,63,0.556,31,0.355,0.526,4.3,3.6,8.7,2.6,15.8,1.33,0.19,5.8
C.J. Watson,Ind,PG,29,24,19.6,40.6,16.3,0.114,39,0.821,70,0.4,61,0.344,0.51,6.3,1.7,4.8,1.9,15,0.92,0.17,5.6
Earl Watson,Por,PG,34,6,6.4,12.8,11.3,0.709,2,1,1,0,1,0,0.347,0.3,0.5,4.3,1.3,25.5,0.17,0,3.6
Martell Webster,Was,SF,27,23,32.5,66,15.3,0.055,58,0.845,83,0.53,132,0.417,0.628,13.1,4.7,8.3,2,9.8,0.91,0.3,6.1
David West,Ind,PF,33,25,30.3,63,22.2,0.114,77,0.792,286,0.476,6,0.167,0.516,13.4,7,13.1,3,17.5,0.92,0.92,8.7
Russell Westbrook,Okc,PG,25,21,32.9,67.9,32.9,0.163,125,0.776,282,0.45,100,0.3,0.505,21,5.8,9.4,6.7,35.3,1.9,0.1,11.4
Deron Williams,Bro,PG,29,14,27.9,57.3,22.8,0.198,37,0.784,93,0.473,45,0.422,0.564,12.4,2.4,4.9,7.1,45.3,0.64,0.21,8.5
Derrick Williams,Min,PF,22,11,14.5,30,17.5,0.089,16,0.875,39,0.436,15,0.133,0.442,4.9,2.4,8.7,0.1,0.9,0.36,0.36,2.9
Derrick Williams,Sac,SF,22,11,27.2,55.6,18.9,0.102,41,0.78,73,0.521,23,0.348,0.579,12,4.5,9.6,1.2,7.2,1,0.18,5.9
Elliot Williams,Phi,SG,24,12,10.3,20.4,18.5,0.13,16,0.688,25,0.4,15,0.267,0.457,3.6,1.1,5.7,0.3,4.7,0.17,0.08,4.1
Louis Williams,Atl,PG,27,13,21.5,44.3,21.9,0.134,15,0.8,58,0.397,52,0.365,0.493,8.8,1.5,4.1,3.5,25.1,0.69,0.23,6.7
Marvin Williams,Uta,PF,27,18,26.2,54,16.5,0.087,13,0.692,76,0.513,76,0.395,0.561,9.8,5.1,11,1.4,9,1.11,0.5,6.3
Mo Williams,Por,PG,31,26,24.2,50,20.9,0.189,19,0.895,164,0.433,73,0.37,0.489,9.2,2,4.5,4.5,27.6,0.73,0.31,7.2
Shawne Williams,Lal,PF,27,23,19,39.6,13.6,0.111,6,0.667,39,0.462,78,0.321,0.481,5,4,11.1,1,7.4,0.57,0.74,5.7
Jeff Withey,Nor,C,23,12,5.5,11,11.6,0.174,12,0.833,9,0.667,0,0,0.77,1.8,1.4,14.5,0.3,8.6,0.17,0.17,6.6
Nate Wolters,Mil,PG,22,21,23.7,48.2,17.3,0.133,36,0.75,123,0.455,24,0.083,0.445,6.9,2.7,6.4,4,29,0.67,0.33,7.1
Metta World Peace,Nyk,SF,34,22,15.3,31.4,20.4,0.095,14,0.714,81,0.457,46,0.304,0.473,5.7,2.1,8.2,0.7,7.6,1.05,0.32,5.3
Brandan Wright,Dal,C,26,2,15.8,32.9,24,0.059,7,0.714,13,0.692,0,0,0.715,11.5,4,14.3,0.5,6,0,1.5,7.2
Dorell Wright,Por,SF,28,27,13.7,28.3,16.5,0.1,19,0.737,35,0.4,83,0.386,0.546,5.1,2.4,9.5,0.6,6.6,0.26,0.15,5.7
Tony Wroten,Phi,SG,20,24,26.3,53.4,27.3,0.162,96,0.563,214,0.5,84,0.25,0.486,13.8,3.7,7.6,3.7,23.7,1,0.29,8.7
Nick Young,Lal,SG,28,25,26.5,55.2,23.9,0.064,96,0.792,189,0.466,105,0.381,0.553,14.9,2.3,4.6,1.4,9,0.84,0.36,5.5
Thaddeus Young,Phi,PF,25,23,32.6,66,21.8,0.111,61,0.672,273,0.509,43,0.349,0.531,15.8,6.6,11,1.6,8.3,1.35,0.52,6.8
Cody Zeller,Cha,C,21,26,17.6,36.5,19.1,0.182,40,0.725,140,0.371,0,0,0.422,5.1,4.2,13.3,1,9.6,0.46,0.42,6.3
Tyler Zeller,Cle,C,24,14,7.1,14.4,15,0.18,10,0.8,23,0.522,0,0,0.584,2.3,1.8,14.1,0.1,3.2,0.14,0.21,4.2
